No.,Time,Source,Destination,Protocol,Length,Info
29,0.950715,142.250.192.106,10.12.35.246,TCP,66,443  >  52412 [ACK] Seq=1 Ack=2 Win=294 Len=0 SLE=1 SRE=2
30,0.954963,10.12.35.246,142.250.199.174,TCP,55,52410  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1 [TCP segment of a reassembled PDU]
31,1.222712,10.12.35.246,172.217.166.14,TCP,55,52385  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]
32,1.287149,142.250.199.174,10.12.35.246,TCP,66,443  >  52410 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2
33,1.333755,10.12.35.246,142.250.199.174,TCP,55,52413  >  443 [ACK] Seq=1 Ack=1 Win=512 Len=1 [TCP segment of a reassembled PDU]
34,1.636156,172.217.166.14,10.12.35.246,TCP,66,443  >  52385 [ACK] Seq=1 Ack=2 Win=297 Len=0 SLE=1 SRE=2
35,1.640923,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.34.177? Tell 10.12.63.254
36,1.668844,142.250.199.174,10.12.35.246,TCP,66,443  >  52413 [ACK] Seq=1 Ack=2 Win=446 Len=0 SLE=1 SRE=2
37,1.84841,fe80::90e6:2bff:fec5:cd4b,ff02::fb,MDNS,107,"Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
38,1.848568,HewlettP_81:05:00,Broadcast,ARP,60,Who has 10.12.38.101? Tell 10.12.63.254
39,1.872487,10.12.35.246,172.217.166.14,TCP,55,52408  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1 [TCP segment of a reassembled PDU]
40,1.947019,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.35.34? Tell 10.12.32.1
41,1.947049,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.144? Tell 10.12.32.1
42,2.254355,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.53.120? Tell 10.12.32.1
43,2.254384,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.48.196? Tell 10.12.32.1
44,2.254392,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.36.181? Tell 10.12.32.1
45,2.254399,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.34.106? Tell 10.12.32.1
46,2.256185,IETF-VRRP-VRID_fe,Broadcast,ARP,60,Who has 10.12.37.225? Tell 10.12.32.1
